station_id,station_latitude,station_longitude,station_elevation
31626,38.88732,-76.983569,-5.0
31627,38.905469,-77.00213,-13.0
31628,38.878854,-77.005727,-22.0
31629,38.889988,-76.995193,-3.0
31630,38.889908,-76.983326,-6.0
31631,38.897274,-76.994749,-17.0
31632,38.897195,-76.983575,-16.0
31633,38.887312,-77.025762,-21.0
31634,38.87501,-77.0024,-25.0
31635,38.876737,-76.994468,-12.0
31636,38.907332,-77.01536,-6.0
31637,38.899703,-77.008911,-21.0
31638,38.900358,-77.012108,-18.0
31639,38.89967,-77.003666,-16.0
31640,38.896134,-76.9929,-7.0
31641,38.894972,-77.003135,-10.0
31642,38.902405,-77.016005,-15.0
31643,38.884916,-77.005965,-9.0
31644,38.882489,-76.990121,-7.0
31645,38.902931,-76.998404,-17.0
31646,38.88044,-77.025236,-25.0
31647,38.89222,-76.99602,-6.0
31648,38.870407,-77.010447,-21.0
31649,38.931991,-77.032956,27.0
31650,38.876893,-77.006072,-22.0
31651,38.931321,-77.028247,25.0
31652,38.876751,-77.000736,-23.0
31653,38.902674,-77.021392,-11.0
31654,38.876211,-77.012443,-27.0
31655,38.897108,-77.011616,-21.0
31656,38.901935,-76.978627,-14.0
31657,38.892934,-76.998273,-6.0
31658,38.897808,-76.979634,-18.0
31659,38.885908,-76.991476,-5.0
31660,38.902732,-76.995149,-9.0
31661,38.899941,-76.994896,-19.0
31662,38.902386,-77.005649,-19.0
31663,38.884058,-76.986385,-3.0
31664,38.86624583333333,-77.01053516666667,-21.0
31665,38.885482,-76.977187,-11.0
31666,38.881123,-77.017658,-25.0
31667,38.863743,-77.013814,-25.0
31668,38.871841,-77.00591,-19.0
31669,38.876823,-77.002161,-23.0
31671,38.883318,-76.925315,20.0
31700,38.860056,-76.967839,53.0
31701,38.8692,-76.9599,17.0
31702,38.878,-76.9607,-7.0
31703,38.897063,-76.947446,-15.0
31704,38.901385,-76.941877,-24.0
31705,38.894,-76.947974,-8.0
31706,38.86559,-76.952103,49.0
31707,38.889935,-76.93723,0.0
31708,38.896544,-76.96012,-23.0
31710,38.898536,-76.931862,-15.0
31711,38.908473,-76.933099,-18.0
31712,38.894474,-76.974828,-25.0
31713,38.897407,-76.925907,-12.0
31714,38.891805,-76.913563,-5.0
31715,38.883011,-76.949709,7.0
31716,38.895954,-76.967844,-22.0
31717,38.900468,-76.947287,-19.0
31718,38.87595233333333,-76.94050616666667,29.0
31719,38.897499,-76.969509,-22.0
31720,38.878771,-76.97093,-27.0
31800,38.843229,-76.999375,21.0
31801,38.862669,-76.994637,-18.0
31802,38.867373,-76.988039,-25.0
31803,38.866611,-76.985238,-21.0
31804,38.865786666666665,-76.97846683333333,-6.0
31805,38.873057,-76.971015,-18.0
31806,38.844711,-76.987823,24.0
31807,38.863897,-76.990037,-15.0
31811,38.831516,-77.008133,-8.0
31812,38.870695,-76.982359,-18.0
31813,38.84627,-76.98185,26.0
31814,38.84377,-76.97557,3.0
31815,38.84623,-76.97703,18.0
31816,38.836,-77.0009,0.0
31817,38.824481,-77.005497,-18.0
31818,38.82373,-77.00223,-15.0
31819,38.81909,-77.01033,18.0
31820,38.87335,-76.9834,-28.0
31822,38.855004,-76.984512,36.0
31823,38.835737,-76.983144,20.0
31824,38.836645,-76.993588,-3.0
31825,38.857369,-76.977688,47.0
31826,38.869336,-76.978519,-16.0
31900,38.898301,-77.118009,84.0
31906,38.812711,-77.061715,-22.0
31908,38.828437,-77.086031,30.0
31909,38.843422,-77.064016,-26.0
31910,38.822738,-77.049265,-14.0
31912,38.841291,-77.063093,-27.0
31913,38.820058,-77.06282,-12.0
31915,38.818748,-77.047783,-15.0
31916,38.829545,-77.047844,-16.0
31917,38.89372916666667,-77.07093166666667,-1.0
31918,38.812351,-77.040691,-23.0
31919,38.876695,-77.112982,54.0
31920,38.888282,-77.111066,54.0
31923,38.858524,-77.103728,28.0
31924,38.892556,-77.082089,31.0
31925,38.848304,-77.05122,-21.0
31926,38.879476,-77.114563,52.0
31927,38.808161,-77.100796,-4.0
31928,38.840797,-77.108938,13.0
31931,38.814185,-77.043809,-19.0
31935,38.852903,-77.045916,-19.0
31936,38.864838,-77.056873,-16.0
31937,38.890863,-77.074893,3.0
31938,38.853002,-77.059496,-11.0
31939,38.895068,-77.07386,14.0
31940,38.88625606692058,-77.08426237106323,21.0
31941,38.837306,-77.106111,17.0
32000,38.988562,-77.096539,75.0
32001,38.985404,-77.023082,71.0
32002,38.981103,-77.097426,65.0
32003,38.983838,-77.09221,75.0
32006,38.98698633333333,-77.02938966666666,69.0
32008,38.98954,-77.098029,72.0
32010,38.98120183333333,-77.01127466666667,31.0
32011,38.983627,-77.006311,23.0
32012,38.994895,-77.029531,64.0
32013,38.983525,-77.095367,69.0
32014,38.961763,-77.085998,62.0
32019,38.99029883333333,-77.02951066666667,67.0
32021,38.982456,-77.091991,73.0
32024,38.989724,-77.023854,74.0
32025,38.975,-77.01121,55.0
32026,38.977933,-77.006472,58.0
32027,38.992375,-77.100104,67.0
32028,38.990639,-77.100239,69.0
32029,38.977093,-77.094589,67.0
32034,38.994035,-77.030371,62.0
32035,38.999388,-77.031555,72.0
32036,38.997070666666666,-77.02549116666667,69.0
32040,38.961259166666665,-77.088732,57.0
32043,38.99747166666667,-77.023942,70.0
32046,38.964992,-77.103381,43.0
32048,38.984691,-77.094537,75.0
32049,38.986743,-77.000035,41.0
32050,38.997653,-77.034499,72.0
32051,38.994113,-77.076986,45.0
32053,38.999378,-77.097882,63.0
32055,38.979875,-77.093522,71.0
32056,38.995681,-77.038721,64.0
32058,38.990874,-77.016311,66.0
32059,38.98265,-76.988311,12.0
32061,38.98809133333334,-76.98839816666667,28.0
32402,38.969581,-76.937349,-9.0
32403,38.95548,-76.940133,-11.0
32404,38.936213,-76.960054,-10.0
32408,38.959361,-76.946361,1.0
32409,38.840107,-76.9753,15.0
32410,38.9546,-76.9595,-14.0
32411,38.975505,-76.952199,6.0
32412,38.974205,-76.995227,33.0
32413,38.93923916666667,-76.955082,-12.0
32414,38.9725,-76.9807,0.0
32416,38.961737,-76.995922,23.0
32417,38.9698,-76.9493,-5.0
32418,38.955349,-76.968084,-18.0
32419,38.888524,-76.913188,0.0
32420,38.965742,-76.954803,8.0
32421,38.962119,-76.935578,-5.0
32422,38.968887333333335,-76.95418333333333,5.0
32900,38.964406,-77.010759,42.0
32901,38.96381,-77.010266,41.0
