station_id,lat,lng,DN
SF-X14,37.72829706785464,-122.45040095705835,102.0
SF-X19,37.730157772589905,-122.43290044146984,37.0
SF-X29,37.733106412762645,-122.39097152309715,27.0
SF-X30,37.73172669352169,-122.39005565643309,25.0
SF-Y14,37.72598208068022,-122.45246079022941,99.0
SF-Y25,37.72713994566898,-122.4066641851972,27.0
SF-Y27,37.73009777777777,-122.39880161111112,18.0
SF-Y29,37.7292632955191,-122.39302288473394,15.0
SF-Y30,37.729383478308634,-122.38655519493608,16.0
SF-Z16,37.72239653261201,-122.44378018880873,56.0
SF-Z6,37.72201776543209,-122.48275428395064,31.0
SF Depot,37.754840460372854,-122.38975180352637,5.0
