station_id,lat,lng
OK-L5,37.80456234955256,-122.27173805157472
OK-L6,37.803189081131656,-122.27057933807372
OK-L6-2,37.80268838907161,-122.26914635603954
OK-L7,37.80000163118879,-122.26643800735472
OK-L7-2,37.80131890842101,-122.2626418168421
OK-L8,37.79767281142858,-122.26299728285709
OK-L9,37.795913000000006,-122.255547
OK-M14,37.781123,-122.2329915
OK-M2,37.8072393,-122.28937019999996
OK-M4,37.803686500000005,-122.282497
OK-M5,37.800754399999974,-122.27489429999991
OK-M6,37.80051609423081,-122.27207990576913
OK-M7,37.797319499999965,-122.26531989999978
OK-N1,37.80531830000007,-122.29483649999985
OK-N17,37.77523206666667,-122.22449813333333
OK-N7,37.79519476648968,-122.27396965339116
SF I29-1,37.7833751449052,-122.39327571280988
SF-A19,37.805338897766354,-122.43724981013726
SF-A20,37.804437803343085,-122.43352710766959
SF-A27,37.804777593098954,-122.40326064062532
SF-AA15,37.720569503986866,-122.4476853584139
SF-AA28,37.72262869564848,-122.39249007158048
SF-B19,37.8026497587719,-122.43605855964917
SF-B21,37.80026082230085,-122.4258333403499
SF-B22,37.80231222943722,-122.4244087132036
SF-B25,37.80277817451334,-122.4133933782748
SF-B28,37.80464051547288,-122.40206111273228
SF-B28-2,37.802102447464925,-122.40175960994596
SF-BB17,37.716185071550676,-122.44010657962093
SF-C20,37.79917293404885,-122.43406312630418
SF-C21,37.79723313143635,-122.4274988482384
SF-C22,37.79769541593541,-122.42343882395261
SF-C25,37.80043482225657,-122.41089615269094
