station_id1,station_id2,all,all_reverse,classic,classic_reverse,electric,electric_reverse,classic_ratio,electric_ratio,classic_ratio_reverse,electric_ratio_reverse
SF-M25,SF-N22-1B,54,83,28,51,26,32,0.5185185185185185,0.48148148148148145,0.6144578313253012,0.3855421686746988
SF-M25,SF-N26,5,7,4,4,1,3,0.8,0.2,0.5714285714285714,0.42857142857142855
SF-M25,SF-N25,8,3,5,1,3,2,0.625,0.375,0.3333333333333333,0.6666666666666666
SF-M25,SF-T22,13,11,7,8,6,3,0.5384615384615384,0.46153846153846156,0.7272727272727273,0.2727272727272727
SF-M25,SF-S22-2,1,6,0,1,1,5,0.0,1.0,0.16666666666666666,0.8333333333333334
SF-M25,SF-S22-1,5,9,1,3,4,6,0.2,0.8,0.3333333333333333,0.6666666666666666
SF-M25,SF-Q23-3,3,5,2,2,1,3,0.6666666666666666,0.3333333333333333,0.4,0.6
SF-M25,SF-Q22-1,14,5,8,1,6,4,0.5714285714285714,0.42857142857142855,0.2,0.8
SF-M25,SF-Q22-2,12,17,5,9,7,8,0.4166666666666667,0.5833333333333334,0.5294117647058824,0.47058823529411764
SF-M25,SF-P22,11,11,4,5,7,6,0.36363636363636365,0.6363636363636364,0.45454545454545453,0.5454545454545454
SF-M25,SF-U21,3,1,2,0,1,1,0.6666666666666666,0.3333333333333333,0.0,1.0
SF-M25,SF-T20,11,10,0,0,11,10,0.0,1.0,0.0,1.0
SF-M25,SF-S21,2,1,0,0,2,1,0.0,1.0,0.0,1.0
SF-M25,SF-X19,2,1,1,0,1,1,0.5,0.5,0.0,1.0
SF-M25,SF-Y25,5,1,5,1,0,0,1.0,0.0,1.0,0.0
SF-M26-2,SF-M26,8,9,6,8,2,1,0.75,0.25,0.8888888888888888,0.1111111111111111
SF-M26-2,SF-M25,13,17,6,8,7,9,0.46153846153846156,0.5384615384615384,0.47058823529411764,0.5294117647058824
SF-M26-2,SF-L27,4,26,3,20,1,6,0.75,0.25,0.7692307692307693,0.23076923076923078
SF-M26-2,SF-K26,19,11,5,8,14,3,0.2631578947368421,0.7368421052631579,0.7272727272727273,0.2727272727272727
SF-M26-2,SF-J27,4,4,1,2,3,2,0.25,0.75,0.5,0.5
SF-M26-2,SF-M30,10,7,6,5,4,2,0.6,0.4,0.7142857142857143,0.2857142857142857
SF-M26-2,SF-L27-2,3,10,1,9,2,1,0.3333333333333333,0.6666666666666666,0.9,0.1
SF-M26-2,SF-J29-3,18,7,10,5,8,2,0.5555555555555556,0.4444444444444444,0.7142857142857143,0.2857142857142857
SF-M26-2,SF-J29,60,82,25,52,35,30,0.4166666666666667,0.5833333333333334,0.6341463414634146,0.36585365853658536
