id,name
SF-J28-2,Brannan St at 4th St
SF-J29,San Francisco Caltrain (Townsend St at 4th St)
SF-J29-1,3rd St at Townsend St
SF-J29-3,San Francisco Caltrain Station (King St at 4th St)
SF-J3,38th Ave at Balboa St
SF-J5,34th Ave at Balboa St
SF-K15-,Fell St at Stanyan St
SF-K17,Central Ave at Fell St
SF-K17-2,Haight St at Lyon St
SF-K18,Broderick St at Oak St
SF-K19,Page St at Scott St
SF-K20,Pierce St at Haight St
SF-K21,Koshland Park
SF-K22-1,Market St at Franklin St
SF-K22-2,McCoppin St at Valencia St
SF-K23,Otis St at Brady St
SF-K24,11th St at Natoma St
SF-K25,Folsom St at 9th St
SF-K26,8th St at Brannan St
SF-K27,7th St at Brannan St
SF-K27-2,Brannan St at 7th St
SF-K28,Townsend St at 5th St
SF-K28-3,Townsend St at 6th St
SF-K29-1,Berry St at 4th St
SF-K30-2,China Basin St at 3rd St
SF-L19,Duboce Park
SF-L20,Church St at Duboce Ave
SF-L21,Market St at Dolores St
SF-L22,Valencia St at Clinton Park
SF-L24,Folsom St at 13th St
SF-L25,11th St at Bryant St
SF-L26,Division St at Potrero Ave
SF-L27,Townsend St at 7th St
SF-L27-2,7th St at King St
SF-L28,Berry St at King St
SF-L29,Mission Bay Kids Park
SF-L30-1,4th St at Mission Bay Blvd S
SF-L31-1,Terry Francois Blvd at Mission Bay Blvd N
SF-M10,Funston Ave at Irving St
SF-M11,10th Ave at Irving St
SF-M12,7th Ave at Irving St
SF-M13,Frederick St at Arguello Blvd
SF-M15,Carl St at Cole St
SF-M20,Sanchez St at 15th St
SF-M21,Dolores St at 15th St
SF-M22-1,14th St at Mission St
SF-M22-2,Valencia St at 16th St
SF-M24,Folsom St at 15th St
SF-M25,Bryant St at 15th St
SF-M26,15th St at Potrero Ave
SF-M26-2,Alameda St at Henry Adams St
SF-M27,Irwin St at 8th St
SF-M28,Hubbell St at 16th St
SF-M30,4th St at 16th St
SF-M30-2,Terry Francois Blvd at Warriors Way
SF-N20-1,16th St at Prosper St
SF-N20-2,Sanchez St at 17th St
SF-N21,17th St at Dolores St
SF-N22-1A,16th St Mission BART
SF-N22-1B,16th St Mission BART Station 2
SF-N22-2,17th St at Valencia St
SF-N23,17th & Folsom Street Park (17th St at Folsom St)
SF-N24-2,Harrison St at 17th St
SF-N25,Franklin Square
SF-N26,Potrero Ave and Mariposa St
SF-N26,Potrero Ave at Mariposa St
SF-N27,Rhode Island St at 17th St
SF-N28,Jackson Playground
SF-N29,Mississippi St at 17th St
SF-O12,7th Ave at Lawton St
SF-O18,Eureka Valley Recreation Center
SF-O19,18th St at Noe St
SF-O21,Mission Dolores Park
SF-O22,Mission Playground
SF-O23,19th St at Mission St
SF-O24,Folsom St at 19th St
SF-O25-1,19th St at Florida St
SF-O25-2,20th St at Bryant St
SF-O30,Esprit Park
SF-O30-2,Illinois St at 20th St
SF-P21,20th St at Dolores St
SF-P22,Valencia St at 21st St
SF-P24,Harrison St at 20th St
SF-P26,22nd St at Potrero Ave
SF-P30,22nd St Caltrain Station
SF-Q21-1,22nd St at Dolores St
SF-Q21-2,24th St at Chattanooga St
SF-Q22-1,Valencia St at 22nd St
SF-Q22-2,Valencia St at 24th St
SF-Q23-3,24th St at Bartlett St
SF-Q26,Utah St at 24th St
SF-Q30,23rd St at Tennessee St
SF-R19,Jersey St at Castro St
SF-R20,Jersey St at Church St
SF-R24,Garfield Square (25th St at Harrison St)
SF-R26,Potrero del Sol Park (25th St at Utah St)
SF-S21,Cesar Chavez St at Dolores St
SF-S22-1,Valencia St at Cesar Chavez St
SF-S22-2,Guerrero Park
SF-S24,Precita Park
SF-S29,Indiana St at Cesar Chavez St
SF-S30,Illinois St at Cesar Chavez St
SF-T20,29th St at Church St
SF-T21,30th St at San Jose Ave
SF-T22,29th St at Tiffany Ave
SF-U21,Randall St at Chenery St
SF-U30,Evans Ave at Newhall St
SF-V28,Oakdale Ave at Phelps St
SF-V29,Jerrold Ave at 3rd St
SF-V29,Jerrold St at 3rd St
SF-V29,Newhall St at 3rd St
SF-V30,Mendell St at Fairfax Ave
SF-V30,Mendall St at Fairfax Ave
SF-V31,Evans Ave at Mendell St
SF-V32,Heron's Head Park
SF-W14,Gennessee St at Monterey Blvd
SF-W19,Glen Park BART Station
SF-W19-2,Arlington St at Roanoke St
SF-W29,McKinnon Ave at 3rd St
SF-W8,Eucalyptus Dr at 20th Ave
SF-X14,Judson Ave at Gennessee St
SF-X19,Alemany Blvd at Silver Ave
SF-X29,Quesada Ave at 3rd St
SF-X30,Lane St at Revere Ave
SF-Y14,Frida Kahlo Way at Cloud Cir
SF-Y25,Goettingen St at Bacon St
SF-Y27,Williams Ave at Apollo St
SF-Y29,Williams Ave at 3rd St
SF-Y30,Jennings St at Revere Ave
SF-Z16,Delano Ave at Oneida Ave
SF-Z28,Carroll Ave at 3rd St
SF-Z6,Font Blvd at Arballo Dr
SF-Z7,Holloway Ave at Arellano Ave
SJ-C9,Metro Dr at Technology Dr
SJ-D9,Skyport Dr at Technology Dr
SJ-E10,Gish Rd at 1st St
SJ-E9,Sonora Ave at 1st St
SJ-F10,Kerley Dr at Rosemary St
SJ-G10,1st St at Younger Ave
SJ-G15,Mercado Way at Sierra Rd
SJ-H10,Mission St at 1st St
SJ-H11,Raymond Bernal Jr Memorial Park (8th St at Hedding St)
SJ-H12,10th St at Mission St
SJ-H17,Newbury Park Dr at King Rd
SJ-H9,San Pedro St at Hedding St
SJ-I10,5th St at Taylor St
SJ-I11,Taylor St at 9th St
SJ-I14,23rd St at Taylor St
SJ-I5,Asbury St at The Alameda
SJ-I9,George St at 1st St
SJ-J10,Jackson St at 5th St
SJ-J11,7th St at Empire St
SJ-J12-1,10th St at Empire St
SJ-J12-2,Backesto Park (Jackson St at 13th St)
SJ-J6,Stockton Ave at Lenzen Ave
SJ-J8,Autumn Parkway at Coleman Ave
SJ-J9,Empire St at 1st St
SJ-K10,2nd St at Julian St
SJ-K11,Julian St at 6th St
SJ-K5,Julian St at The Alameda
SJ-K6,W Julian St at N Morrison St
SJ-K9,Ryland Park
SJ-L10,Saint James Park
SJ-L11,St James St at 9th St
SJ-L12,N 14th St at E Santa Clara St
SJ-L13,17th St at Santa Clara St
SJ-L7-1,SAP Center
SJ-L7-2,The Alameda at Bush St
SJ-L9,San Pedro Square
SJ-L9-2,Devine St at San Pedro St
SJ-M10-1,San Jose City Hall
SJ-M10-2,San Fernando St at 4th St
SJ-M10-3,Paseo De San Antonio at 2nd St
SJ-M10-4,Fountain Alley at S 2nd St
SJ-M11-1,Santa Clara St at 7th St
SJ-M11-2,San Fernando St at 7th St
SJ-M11-3,9th St at San Fernando St
SJ-M14,21st St at Santa Clara St
SJ-M4,San Carlos St at Meridian Ave
SJ-M5,Park Ave at Race St
SJ-M6,Cahill Park
SJ-M6-2,Park Ave at Laurel Grove Ln
SJ-M7-1,San Jose Diridon Station
SJ-M8,Almaden Blvd at San Fernando St
SJ-M8-1,Almaden Blvd at San Fernando St
SJ-M8-2,Delmas Ave and San Fernando St
SJ-M9-1,Market St at Park St
SJ-M9-2,Santa Clara St at Almaden Blvd
SJ-N10-1,4th St at San Carlos St
SJ-N10-2,1st St at San Carlos St
SJ-N10-3,5th St at San Salvador St
SJ-N11,San Salvador St at 9th St
SJ-N12-1,San Carlos St at 11th St
SJ-N14,22nd St at William St
SJ-N14-2,19th St at William St
SJ-N5,Sunol St at San Carlos St
SJ-N5-2,Auzerais Ave at Lincoln Ave
SJ-N6,Auzerais Ave at Los Gatos Creek Trail
SJ-N7,Columbia Ave at Bird Ave
SJ-N9,San Carlos St at Market St
SJ-O10,Pierce Ave at Market St
SJ-O11,William St at 10th St
SJ-O12,William St at 10th St
SJ-O4,Parkmoor Ave at Race St
SJ-O9,Almaden Blvd at Balbach St
SJ-P10,5th St at Virginia St
SJ-P10-2,Virginia St at 2nd St
SJ-P6,Bird Ave at Coe Ave
SJ-P7,Delmas Ave at Virginia St
SJ-P8,Locust St at Grant St
SJ-P9,Oak St at 1st St
SJ-Q10,3rd St at Keyes St
SJ-Q11,Bestor Art Park
SJ-Q4,Willow St at Blewett Ave
SJ-Q5,Bird Ave at Willow St
SJ-Q8,Palm St at Willow St
SJ-Q9,Willow St at Vine St
SJ-R11,South San Jose State (7th St at Humboldt St)
San Jose Depot,San Jose Depot
