station_id,lat,lng,elevation
31518,38.91559693133037,-76.98367903147366,28
31524,38.907430665374704,-76.9868140193799,29
31517,38.90791058371739,-76.99706474961583,26
31530,38.91101528461536,-76.98583253846148,22
31527,38.912525877717485,-77.00878824637705,28
31522,38.91474118219414,-77.00355675300713,36
31523,38.91499325757575,-77.00779750606057,37
31513,38.918153282051264,-77.0047392076923,53
31500,38.91907454861112,-77.00064620138899,30
31529,38.92407253113554,-77.00209594871792,40
31619,38.890460752577496,-76.98836049942746,27
31647,38.89221955383019,-76.9960183240166,24
31612,38.89476143962597,-76.9971427874148,24
31622,38.89483308288767,-76.9876348707667,24
31626,38.887314937984414,-76.98356353972868,24
31630,38.88990963185661,-76.98334190295334,24
31663,38.88405698881587,-76.98633725394728,24
31659,38.885906439047744,-76.99147738666646,24
31657,38.89293829475996,-76.9982730720522,26
31269,38.88737185964921,-77.0019565818712,26
31629,38.88998744541904,-76.99519145126725,26
31641,38.89497215327385,-77.00313826711339,21
31665,38.885488425220565,-76.97718497581026,21
31605,38.88510455685376,-77.00229470716519,21
31640,38.89611566802211,-76.99336385432353,22
31623,38.89697712046895,-77.00491945131458,16
31631,38.89727198044688,-76.99474625512096,15
31639,38.89966439941255,-77.00364427386215,12
31614,38.899982490000006,-76.99138647333335,12
31637,38.89969871038255,-77.00892404918027,9
31661,38.89989532141652,-76.99487923368912,10
31615,38.89997433452923,-76.99835627512002,10
31662,38.90241339226863,-77.00565194550062,14
31512,38.90373489965996,-76.98721415986384,21
31627,38.90547372296626,-77.00213204631561,17
31603,38.9056856325692,-77.0054925673764,13
31601,38.889600728571416,-76.97690027142856,17
31668,38.8718417248428,-77.00591844339614,2
31209,38.87429260544226,-77.00570468820848,5
31208,38.876315727477404,-77.00369391666662,5
31652,38.87674198281001,-77.0007145500748,5
31664,38.866286121951234,-77.01052576016257,5
31634,38.874996830158665,-77.00241035238076,4
31650,38.87690453038185,-77.00598493315981,7
31628,38.87884255924615,-77.00578952511664,8
31643,38.884914817901226,-77.00596140586428,14
31669,38.87682521794875,-77.00211772222217,6
31635,38.87673859615388,-76.99446462499996,13
31608,38.879202312617785,-76.99529362523549,17
31606,38.88029950287351,-76.98620870258598,19
31625,38.881185303728216,-77.0018244939696,15
31644,38.882492609929024,-76.99012084869985,22
31607,38.88291715577371,-76.98790492179731,23
31613,38.884274593740685,-76.99473543499677,23
31610,38.886952420205965,-76.99680765765727,25
31618,38.88995533566967,-77.00035354439245,27
31248,38.888776028455,-77.0286928958336,9
31247,38.8885536546244,-77.03242789402637,9
31294,38.88344774786327,-77.0217350982906,9
31218,38.88626878694157,-77.02224785395177,9
31288,38.89049515609745,-77.01724548943062,3
31219,38.89302363934424,-77.02600713114754,3
31321,38.89224514405347,-77.03323051758824,3
31231,38.89451700000004,-77.03161950757568,4
31264,38.89457358627438,-77.01995644509813,8
31290,38.88809754822688,-77.03832580851065,1
31240,38.884113165178505,-77.04656227976209,4
31258,38.88825590018176,-77.04943651663663,7
31289,38.89053866476841,-77.04937990280982,7
31129,38.89646924195112,-77.03337585545654,7
31238,38.89836831754381,-77.03227197719289,13
31216,38.89961643661975,-77.0316764061033,15
31277,38.898288403901454,-77.03973674904132,15
31227,38.90028250859103,-77.0298383487974,16
31204,38.89629478323706,-77.04499001926787,16
31259,38.894723919191925,-77.0451275808081,9
31205,38.90071281087771,-77.04643460997495,21
31252,38.90153869191916,-77.04657663804728,21
31253,38.90218673245612,-77.04339543567261,21
31215,38.90230927499997,-77.05913005833328,3
