station_id,SF-M26,SF-M25,SF-M26-2,SF-L27,SF-K26,SF-J27,SF-M30,SF-L27-2,SF-J29-3,SF-J29,SF-L26,SF-M28,SF-M27,SF-L25,SF-M24,SF-L24,SF-N23,SF-N24-2,SF-K27-2,SF-J26-2,SF-K28-3,SF-L28,SF-K28,SF-K29-1,SF-J28-2,SF-K27,SF-K25,SF-J25,SF-H26-2,SF-P24,SF-N22-1A,SF-J24,SF-O24,SF-J26,SF-I26-,SF-I25,SF-K23,SF-H26,SF-O23,SF-H27-1,SF-F28-2,SF-G27,SF-M22-2,SF-L22,SF-F27,SF-N22-2,SF-G28-2,SF-G28-1,SF-M22-1,SF-O25-1,SF-K22-2,SF-K24,SF-J23-2,SF-G23,SF-G24,SF-G25,SF-F23,SF-E23,SF-D24,SF-C22,SF-B22,SF-J17,SF-I19,SF-I20,SF-H16,SF-H19,SF-H20,SF-H18,SF-H17,SF-G19,SF-G17,SF-G18,SF-G20,SF-F19,SF-E18,SF-E20,SF-H30,SF-G30-2,SF-F30-1,SF-E29-2,SF-E29-1,SF-D29,SF-D28,SF-A27,SF-G29-2,SF-G29-1,SF-G30-1,SF-G29-3,SF-F30-2,SF-F29,SF-E29-3,SF-F28-1,SF-E28-2,SF-E28,SF-J10,SF-J12,SF-J13,SF-J15,SF-J14,SF-H13,SF-I16,SF-H12,SF-G10-2,SF-H15,SF-G9,SF-H14,SF-G13,SF-G11,SF-G12,SF-G10-1,SF-F15,SF-F16,SF-C21,SF-C20,SF-B21,SF-B19,SF-A20,SF-A19,SF-C26,SF-C25,SF-B25,SF-E27,SF-B28-2,SF-D27,SF-C28-2,SF-C28-1,SF-B28,SF-J1,SF-H0,SF-J3,SF-J5,SF-G6,SF-G8,SF-G5,SF-G7,SF-F9,SF-H25,SF-G26,SF-K21,SF-K22-1,SF-J23-1,SF-J22-1,SF-J22-2,SF-J21,SF-I21,SF-I22,SF-I23-2,SF-I24,SF-I23-1,SF-F26,SF-M13,SF-M15,SF-L19,SF-L20,SF-N20-1,SF-M20,SF-K17-2,SF-K20,SF-K15-,SF-K19,SF-K18,SF-K17,SF-J16,SF-J18,SF-J20,SF-J19,SF-O12,SF-M12,SF-M10,SF-M11,SF-R19,SF-R20,SF-Q21-2,SF-Q21-1,SF-P21,SF-O18,SF-O19,SF-O21,SF-O22,SF-N21,SF-N20-2,SF-M21,SF-L21,SF-S29,SF-S30,SF Depot,SF-Q30,SF-P30,SF-O30-2,SF-O30,SF-N27,SF-N29,SF-N28,SF-L30-1,SF-L31-1,SF-K30-2,SF-L29,SF-J29-1,SF-I30,SF-I29-2,SF-I27,SF-I28,SF-I30-2,SF I29-1,SF-H28,SF-H29,SF-S24,SF-R24,SF-R26,SF-Q26,SF-P26,SF-O25-2,SF-N22-1B,SF-N26,SF-N25,SF-T21,SF-T22,SF-S22-2,SF-S22-1,SF-Q23-3,SF-Q22-1,SF-Q22-2,SF-P22,SF-W19,SF-W19-2,SF-U21,SF-T20,SF-S21,SF-AA28,SF-Z28,SF-Y29,SF-Y30,SF-Y27,SF-X30,SF-X29,SF-W29,SF-V28,SF-V29,SF-V30,SF-V31,SF-V32,SF-U30,SF-W14,SF-Z7,SF-Z6,SF-W8,SF-BB17,SF-AA15,SF-Z16,SF-Y14,SF-X14,SF-X19,SF-Y25
SF-L26,11,13,14,4,16,4,9,1,29,145,115,8,10,29,29,60,19,48,3,36,2,87,14,18,88,2,11,49,3,24,3,10,2,56,2,116,11,24,27,3,1,10,73,50,3,233,1,1,71,10,100,64,16,21,10,6,1,2,4,0,1,1,24,45,3,0,4,0,0,19,2,0,6,1,0,0,7,8,1,1,6,3,2,0,2,13,4,4,3,1,0,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,4,1,14,91,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,12,14,90,161,22,12,66,11,7,6,8,7,9,2,1,6,39,90,160,9,26,6,17,12,1,2,9,7,4,0,0,2,3,5,0,17,5,16,72,66,29,189,48,59,291,87,0,0,0,24,11,3,86,47,6,38,77,9,5,73,34,46,1,68,3,15,0,3,5,68,129,3,46,6,10,13,12,18,5,31,0,15,29,71,36,42,4,3,16,10,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1
SF-M28,15,17,55,22,50,6,25,46,7,58,14,348,11,23,11,17,7,9,17,92,5,7,19,25,18,12,3,10,11,2,3,30,8,6,6,21,0,9,8,15,9,14,11,3,5,20,4,2,2,5,2,3,5,9,5,4,8,12,0,4,2,5,8,0,1,0,7,0,0,8,1,2,2,0,0,0,17,46,4,8,27,20,3,5,6,5,8,4,7,2,2,5,4,4,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,2,2,0,0,4,4,2,1,6,1,1,13,2,0,1,0,2,1,2,0,1,0,9,3,5,7,7,9,6,0,0,3,2,3,17,3,5,8,4,12,39,0,4,4,10,6,4,0,3,0,8,0,1,0,2,3,0,19,4,5,5,5,28,31,14,10,6,5,4,3,0,18,13,8,19,115,5,37,26,2,28,24,10,3,2,8,12,7,1,13,3,8,13,1,8,88,9,25,5,7,2,1,2,1,3,9,7,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0
SF-M27,1,2,3,1,4,0,0,7,4,36,9,19,17,9,1,13,1,1,2,5,1,1,1,1,4,0,3,3,2,0,1,2,1,3,0,12,0,2,2,3,1,0,2,4,0,3,1,0,1,1,2,2,0,0,1,0,1,2,0,2,5,0,3,0,0,0,2,0,0,10,0,0,1,0,0,0,7,5,0,0,3,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,2,2,0,0,0,0,2,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,2,1,3,1,1,0,0,3,0,2,3,6,0,5,6,0,0,2,0,1,0,0,1,0,1,1,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
SF-L25,3,15,15,5,8,5,128,2,7,16,11,5,7,59,11,14,3,10,18,9,5,9,8,15,3,102,23,34,0,9,3,6,4,14,15,75,2,24,9,4,4,38,9,13,5,48,0,0,9,11,15,60,19,3,32,7,12,8,2,12,59,2,6,22,0,0,2,0,2,3,0,0,7,1,1,1,3,9,3,5,5,2,23,3,19,6,10,10,10,1,0,0,0,2,1,1,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,4,0,9,6,6,1,9,17,5,0,0,1,1,0,0,0,0,2,1,2,2,5,7,38,72,20,5,30,3,5,6,7,10,11,2,4,4,8,13,16,0,5,6,11,14,0,3,8,8,8,0,7,2,3,1,0,3,11,5,23,20,16,10,5,5,19,25,0,1,0,1,5,4,9,9,3,11,117,2,9,18,6,11,3,42,16,14,1,41,2,16,16,2,6,2,29,6,7,16,0,9,2,9,16,10,9,11,3,0,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SF-M24,1,8,8,1,11,5,14,1,2,11,26,10,1,5,96,48,22,34,10,16,3,4,2,3,6,0,26,21,2,17,6,15,10,12,3,13,0,26,14,8,6,20,59,20,6,28,0,0,5,10,6,17,6,6,108,15,10,6,1,16,4,1,5,5,1,0,1,0,1,1,0,0,4,1,0,1,6,11,8,4,4,48,1,2,13,1,18,2,1,1,3,4,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,2,3,0,1,0,1,7,1,2,0,0,4,2,1,0,8,0,0,5,0,0,0,0,0,1,0,4,1,19,5,7,2,31,2,5,1,0,0,12,1,14,10,3,4,2,10,12,18,0,17,7,4,4,5,3,4,1,2,0,19,1,3,4,3,5,3,4,4,10,35,21,13,8,21,30,0,0,0,3,3,4,25,12,3,18,25,5,5,13,5,37,2,11,6,5,3,7,2,46,34,5,17,27,16,16,13,10,6,10,3,10,19,9,13,17,1,0,2,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SF-L24,0,26,37,9,23,10,4,3,2,10,37,17,13,19,29,62,28,25,7,83,2,14,3,5,4,6,66,43,7,13,12,29,33,26,8,17,3,40,21,21,3,5,18,51,5,49,3,0,26,8,24,50,22,7,10,7,10,3,5,5,10,1,0,3,4,0,5,0,1,1,0,1,4,0,2,1,1,9,5,3,9,9,2,2,30,2,13,7,2,0,0,3,0,1,1,1,5,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0,1,0,3,0,0,0,6,14,3,0,22,2,0,0,1,0,0,0,2,0,0,0,0,1,6,4,5,50,72,14,2,7,2,18,9,11,31,9,4,0,7,8,6,17,2,9,8,3,0,2,5,4,6,2,1,32,16,1,5,4,3,1,6,10,19,27,10,16,7,26,26,2,0,0,5,6,2,14,7,4,6,25,2,3,15,1,11,6,15,8,44,4,49,15,36,45,2,6,9,15,60,2,8,2,11,3,12,19,14,19,17,1,0,1,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
SF-N23,0,4,7,1,7,0,20,7,1,6,30,4,2,8,55,32,74,10,7,14,5,19,5,2,1,1,38,12,4,8,3,19,10,13,6,6,2,9,2,9,9,19,10,12,9,43,2,0,4,3,5,6,3,2,8,4,7,7,4,51,7,1,3,0,4,0,1,0,0,1,0,0,1,1,1,1,4,5,0,22,6,3,3,1,13,2,8,1,3,2,3,0,0,0,1,5,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,5,1,0,2,0,3,3,18,1,0,2,1,0,0,4,0,0,0,0,0,1,3,0,2,5,3,9,18,1,4,5,2,0,8,1,10,3,4,9,33,7,12,13,3,12,6,10,4,1,1,6,1,2,1,2,1,1,4,2,4,13,5,17,14,24,13,10,20,10,13,0,0,0,10,5,13,22,22,10,19,24,4,5,3,7,7,0,9,1,1,1,15,1,18,36,4,4,7,10,28,5,10,11,10,5,15,10,11,10,7,2,1,5,5,2,0,0,1,0,0,0,0,0,5,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SF-N24-2,1,8,2,2,3,2,10,3,1,4,10,7,0,7,26,17,15,31,1,9,2,4,0,7,6,0,13,9,0,47,3,15,10,1,1,1,2,4,20,10,2,9,9,9,2,36,0,0,3,16,9,7,9,3,5,4,1,8,1,37,2,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,3,0,1,2,5,2,0,0,8,1,5,2,0,0,3,0,0,1,0,6,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,1,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,8,12,11,1,5,0,0,2,1,1,2,1,7,25,7,7,7,4,12,9,12,14,4,4,4,0,6,5,7,0,0,2,0,2,5,6,5,12,27,15,19,32,5,14,2,0,0,5,2,1,6,13,10,10,5,1,3,6,1,0,0,3,1,6,0,20,0,37,112,0,17,15,29,16,11,11,1,6,4,4,12,14,42,14,3,0,1,4,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,12,0,0,0,0,0,0,0,1,0,0
SF-K27-2,9,42,5,12,30,22,36,10,27,64,3,26,0,14,20,15,7,2,172,20,2,34,11,31,50,12,11,22,15,13,0,13,15,6,7,28,3,24,14,17,15,41,16,13,17,38,0,8,20,4,10,11,10,10,15,5,11,11,0,1,4,17,7,2,1,1,12,0,0,6,0,3,6,1,1,1,9,42,4,12,28,26,5,5,12,18,18,3,10,2,0,3,2,6,0,6,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,2,2,6,10,2,6,13,6,1,2,19,4,1,28,2,0,0,2,0,2,0,4,0,5,9,13,10,34,21,20,23,4,9,8,9,10,15,1,7,8,27,9,9,1,14,30,4,17,12,2,9,3,25,0,2,2,2,2,2,5,4,0,13,11,22,15,14,8,11,11,3,2,0,10,13,8,31,23,14,20,83,9,8,34,12,13,20,41,11,25,11,31,3,7,28,8,2,11,7,4,6,7,6,10,1,3,3,8,13,37,0,0,0,1,4,2,0,0,0,0,2,0,0,1,6,0,0,4,3,0,0,0,0,0,1,0,0,0,1,1
SF-J26-2,0,9,4,4,18,7,14,9,8,32,48,8,0,9,14,48,3,6,11,190,0,13,9,13,31,7,27,64,39,5,0,40,13,37,8,38,0,37,4,18,24,70,34,8,31,12,4,12,7,28,9,10,8,8,12,7,32,21,1,5,6,12,2,10,1,0,7,1,0,4,2,9,7,4,91,7,62,16,13,18,43,25,8,18,51,38,10,21,15,22,0,7,2,2,2,5,3,2,1,0,0,1,0,0,1,0,1,1,1,0,7,1,1,3,0,4,8,1,11,11,9,29,2,17,2,2,22,2,1,0,0,0,2,0,0,6,14,21,8,17,37,8,13,21,5,15,1,4,5,52,8,2,6,7,3,15,5,13,20,4,4,6,4,2,20,7,0,2,1,2,3,0,0,0,4,6,9,21,17,25,1,2,34,0,1,0,47,8,8,14,4,3,7,49,2,7,26,14,3,4,62,29,8,15,45,12,4,17,1,0,15,29,6,2,8,0,3,4,5,11,8,7,31,2,1,0,3,2,11,0,0,2,0,0,2,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0
